ID,Language_ID,Headword,Part_Of_Speech,Contains,Entry_IDs,Etymology,Main_Entry,Media_IDs,Pronunciation,Source_Language,Variant_Form
LX000001,kgv,Ø,Ditransitive verb,,,,,,,,
a_1,kgv,a,Interjection,,,,,,a ; ah ; ã,,
a_3,kgv,a,Interjection,,,,,,,,
LX000002,kgv,=a,Grammatical marker,,,,,,a,,
LX000003,kgv,a'a,Interjection,,,,,,aʔa,,
adat,kgv,adat,Noun,,,,,,,,
ade,kgv,ade,Interjection,,,,,,,,
adi,kgv,adi,Interjection,,,,,,,,
adu,kgv,adu,Interjection,,,,,,aˈdu,,
afukat,kgv,afukat,Noun,,,,,,afuˈkat̚,,apukat ; alfukat ; afokat ; alpukat
ahat,kgv,ahat,Noun,,,al'ahad,,,aˈhat̚,Arabic,
-ahutak,kgv,-ahutak,Grammatical marker,,-tain,,,,aˈhutak̚,,-autak ; -sutak
ajar,kgv,ajar,Verb,,,,,,,Malay or other AN,
ak,kgv,ak,Noun,,,,,,ak̚,,
akal,kgv,akal,Noun,,,,,,,Malay or other AN,
aknar,kgv,aknar,Noun,,,,,,akˈnar,,
aknar_kangun,kgv,aknar kangun,Noun,,,,,,akˈnar ˌkaŋun,,
akpis,kgv,akpis,Noun,-pis ; ak,,,,,akˈpis,,
LX000004,kgv,*al,Noun,,,,,,ˈal,,
LX000005,kgv,*al,Classifier,,,,,,ˈal,,
alangan,kgv,alangan,Verb,,,,,,,Malay or other AN,
alanganrep,kgv,alanganrep,Verb,alangan ; rep,,,,,,,
alar,kgv,alar,Noun,,,,,,ˈalar,,
alkon,kgv,alkon,Quantifier,LX000005 ; kon,,,,,,,
Almahera,kgv,Almahera,Noun,,,,,,almaˈhera,,
am,kgv,am,Noun,,keit_2,*ami,,,am,proto-West-Bomberai,
am_belun,kgv,am belun,Noun,,,,,,am ˈbelun,,
am_perun,kgv,am perun,Noun,,,,,,am ˈperun,,
amdir,kgv,amdir,Noun,,,,,,ˈamdir,,
amdir_komaruk,kgv,amdir komaruk,Verb,,,,,,amˈdir koˈmaruk̚,,
amkeit,kgv,amkeit,Verb,,keit_2,,,,amˈkeit̚,,
an,kgv,an,Pronoun,,,,,,an,,
-an,kgv,-an,Grammatical marker,,,,,,an,,
anahutak,kgv,anahutak,Pronoun,-ahutak ; an,,,,,anaˈhutak̚,,anautak ; anhutak
andain,kgv,andain,Pronoun,-tain ; an,,,,,anˈdain,,
Andan,kgv,Andan,Noun,,,,,,ˈandan,,
ang,kgv,ang,Noun,,,,,,aŋ,,
anggas,kgv,anggas,Noun,,,,,,ˈaŋgas,,
anggas_padenun,kgv,anggas padenun,Noun,,,,,,,,
anggon,kgv,anggon,Pronoun,,,,,,aŋˈgon,,
anka,kgv,anka,Noun,,,,,,,Malay or other AN,
anti,kgv,anti,Noun,,,,,,,Malay or other AN,
anting,kgv,anting,Noun,,,,,,ˈantiŋ,,
ao,kgv,ao,Interjection,,,,,,,,
ap,kgv,ap,Quantifier,,,,,,ap̚,,
ar_1,kgv,ar,Verb,,,,,,ar,,
