ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Media_IDs,Sense_IDs,Sources,alt_translation1
XV000001,kgv,Ma sandalbon ladanbona ditamanunggi,,,Dia kasih sandal dengan baju sama teman.,,,,SN000001,stim4 16.1,He gives his friend shoes and sandals-
XV000002,kgv,Kara gonggungnin.,ka\t=at\t=a\tgonggung\t=nin\t.,2SG\t=OBJ\t=FOC\tcall; call.out\t=NEG\t,[They] didn't call you.,,,,SN000004,,[Dong] tidak panggil kau.
XV000003,kgv,Mu owatko afokarat parua.,,,They over there pluck avocados.,,,,SN000010,Fajaria Yarkuran,Mereka di sana petik alpukat.
XV000004,kgv,Hari ahat Unyil esun mu he yecie.,,,Sunday Unyil's father and family will return.,,,,SN000011,Fajaria Yarkuran,Hari minggu Unyil pu bapak dong su pulang.
XV000005,kgv,Anahutak owatko melalu reba.,an\t-ahutak\towatko\tmelalu\treba\t.,1SG\talone\tF.DIST.LOC\tsit\tPROG\t,I alone sit over there.,,,,SN000012,Fajaria Yarkuran,Saya sendiri duduk di sana.
XV000006,kgv,"Ak, ak, ak, suagi wilao laur.",,,"Go seawards, seawards, seawards, there's tuna playing in the sea.",,,,SN000015,Fajaria Yarkuran,"Pi di laut, ada komo di laut."
XV000007,kgv,Aknaran anggon ning.,,,My chest hurts.,,,,SN000017,Fajaria Yarkuran,Saya punya dada sakit.
XV000008,kgv,An kiemalunara rep.,,,I'm getting strings for a basket.,,,,SN000020,Fajaria Yarkuran,Saya ambil tali keranjang.
XV000009,kgv,Mu he Almaherangga yecieni bot.,,,They are returning to Halmahera.,,,,SN000026,Fajaria Yarkuran,Mereka su pulang di Halmahera.
XV000010,kgv,Tumun me emun amunat nani mindi bon min.,,,The child drinks its mother's milk until it sleeps.,,,,SN000027,Fajaria Yarkuran,Anak itu minum susu ibunya sampai tidur.
XV000011,kgv,Ma emun ambelun neing.,,,Her mother's nipple is sore.,,,,SN000028,Fajaria Yarkuran,Dia pu mama pu ujung susu sakit.
XV000012,kgv,Mu amdirat Kamburkoa paruo.,,,They are making a garden at Kambur.,,,,SN000030,Fajaria Yarkuran,Mereka bikin kebun di Kambur.
