ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Sense_ID
kgv-1447-1,,kgv,1447,Ø,Ø,,,,,,,,SN000001
kgv-1268-1,,kgv,1268,a'a,a'a,,,,,,,,SN000005
kgv-1747-1,,kgv,1747,adat,adat,,,,,,,,SN000006
kgv-3725-1,,kgv,3725,afukat,afukat,,,,,,,,SN000010
kgv-1699-1,,kgv,1699,ahat,ahat,,,,,,,,SN000011
kgv-1964-1,,kgv,1964,-ahutak,-ahutak,,,,,,,,SN000012
kgv-709-1,,kgv,709,ajar,ajar,,,,,,,,SN000013
kgv-3699-1,,kgv,3699,ajar,ajar,,,,,,,,SN000014
kgv-2572-1,,kgv,2572,akal,akal,,,,,,,,SN000016
kgv-1592-1,,kgv,1592,aknar,aknar,,,,,,,,SN000017
kgv-1994-1,,kgv,1994,aknar kangun,aknar_kangun,,,,,,,,SN000018
kgv-606-1,,kgv,606,*al,*al,,,,,,,,SN000020
kgv-1402-1,,kgv,1402,am,am,,,,,,,,SN000027
kgv-796-1,,kgv,796,am belun,am_belun,,,,,,,,SN000028
kgv-586-1,,kgv,586,amdir,amdir,,,,,,,,SN000030
kgv-1195-1,,kgv,1195,amkeit,amkeit,,,,,,,,SN000032
kgv-1209-1,,kgv,1209,an,an,,,,,,,,SN000033
kgv-2090-1,,kgv,2090,-an,-an,,,,,,,,SN000034
kgv-1567-1,,kgv,1567,anggas,anggas,,,,,,,,SN000039
kgv-80-1,,kgv,80,anggas padenun,anggas_padenun,,,,,,,,SN000040
kgv-2090-2,,kgv,2090,anggon,anggon,,,,,,,,SN000041
kgv-1356-1,,kgv,1356,anka,anka,,,,,,,,SN000042
kgv-770-1,,kgv,770,anting,anting,,,,,,,,SN000044
kgv-493-1,,kgv,493,ap,ap,,,,,,,,SN000046
kgv-119-1,,kgv,119,ar,ar,,,,,,,,SN000047
kgv-2879-1,,kgv,2879,ar,ar,,,,,,,,SN000050
kgv-906-1,,kgv,906,*ar,*ar,,,,,,,,SN000051
kgv-1948-1,,kgv,1948,aragadi,aragadi,,,,,,,,SN000054
kgv-1202-1,,kgv,1202,aremun,aremun,,,,,,,,SN000057
kgv-2035-1,,kgv,2035,arep,arep,,,,,,,,SN000058
