ID,Description,Entry_ID,Antonym,Media_IDs,Scientific_Name,Semantic_Domain,Synonym,alt_translation1
SN000001,to give,LX000001,,,,,,kasih
SN000002,[filler],a_1,,,,,,[kata pengisi]
SN000003,[interjection],a_3,,,,,,[kata seru]
SN000004,[focus],LX000002,,,,,,[fokus]
SN000005,[agreement interjection]; yes,LX000003,,,,,,[kata seru persetujuan]; iya
SN000006,tradition,adat,,,,culture and communication,,adat
SN000007,[interjection expressing contempt or dissatisfaction],ade,,,,values and emotions,,"[aduh, adeh]"
SN000008,[interjection expressing pain or discomfort],adi,,,,values and emotions,,adih
SN000009,[interjection for sudden pain or surprise],adu,,,,values and emotions,,[kata seru]; aduh
SN000010,avocado,afukat,,c009d8495a5cc7d05422c7593e65895e ; 49dc39d38efb1424bd8cff60bdae7c60 ; e31d9bf4d827ece0cf2fae2e26e7a003,,"food, cooking, fire ; plants",,alpukat
SN000011,Sunday,ahat,,,,"location, direction, time",,hari minggu
SN000012,[quantifying pronoun suffix]; alone,-ahutak,,,,"bodily states, colours, dimensions, quantity",,sendiri
SN000013,to teach,ajar,,,,work,,ajar
SN000014,to continue,ajar,,,,,,ajar
SN000015,"sea-side (when at sea, when the vessel follows the coastline)",ak,keit_1,,,"location, direction, time",,sebelah laut
SN000016,sense,akal,,,,culture and communication,,akal
SN000017,chest,aknar,,,,body,,dada
SN000018,collarbone; breastbone,aknar_kangun,,,,body,,tulang selangka; tulang dada
SN000019,convex side,akpis,keitpis,,,"location, direction, time ; canoe parts",,bagian keluar
SN000020,string; vine; grass,LX000004,,21482a224712f697a03fcf5a2e0f76ac,,plants ; work,,tali; tumbuhan merambat; padi-padian
SN000021,[classifier for strings or strips],LX000005,,,,,,[penggolong untuk tali]; tali (pakai dengan nomor)
SN000022,to be unable to do,alangan,,,,work,,berhalangan
SN000023,to look for trouble,alanganrep,,,,values and emotions,,bikin halangan
SN000024,a kind of small fish,alar,,8e92a421a0b78869f5bbc5167f1b5096,,aquatic life,,ikan kepala batu
SN000025,one string,alkon,,,,"bodily states, colours, dimensions, quantity",,satu tali
