headword,sense,concept,similarity,pos,concepticon_pos,sense_id,concepticon_id,include,certainty
Ø,to give,GIVE,20,Ditransitive verb,verb,SN000001,1447,1,
a'a,[agreement interjection]; yes,YES,15,Interjection,other,SN000005,1268,1,
adat,tradition,CUSTOM,19,Noun,noun,SN000006,1747,1,
afukat,avocado,AVOCADO,19,Noun,noun,SN000010,3725,1,
ahat,Sunday,SUNDAY,19,Noun,noun,SN000011,1699,1,
-ahutak,[quantifying pronoun suffix]; alone,ALONE,15,Grammatical marker,adjective,SN000012,1964,1,
ajar,to teach,TEACH,20,Verb,verb,SN000013,709,1,
ajar,to continue,CONTINUE,20,Verb,verb,SN000014,3699,1,
akal,sense,SENSE (PERCEIVE BY SENSES),19,Noun,verb,SN000016,2572,1,
aknar,chest,CHEST,19,Noun,noun,SN000017,1592,1,
aknar kangun,collarbone; breastbone,COLLARBONE,15,Noun,noun,SN000018,1994,1,
*al,string; vine; grass,GRASS,15,Noun,noun,SN000020,606,1,
am,breast; breast milk,BREAST,15,Noun,noun,SN000027,1402,1,
am belun,"nipple, teat",NIPPLE,19,Noun,noun,SN000028,796,1,
amdir,garden,GARDEN,19,Noun,noun,SN000030,586,1,
amkeit,to give birth,GIVE BIRTH,20,Verb,verb,SN000032,1195,1,
an,[first person singular pronoun]; I,I,15,Pronoun,other,SN000033,1209,1,
-an,[first person singular possessive pronoun]; my,MY,15,Grammatical marker,other,SN000034,2090,1,
anggas,door,DOOR,19,Noun,noun,SN000039,1567,1,
anggas padenun,doorpost,DOORPOST,19,Noun,noun,SN000040,80,1,
anggon,[first person singular possessive]; my,MY,15,Pronoun,other,SN000041,2090,1,
anka,number,NUMBER,19,Noun,noun,SN000042,1356,1,
anting,earrings,EARRING,19,Noun,noun,SN000044,770,1,
ap,five,FIVE,19,Quantifier,numeral,SN000046,493,1,
ar,to dive,DIVE,20,Verb,verb,SN000047,119,1,
ar,sound,SOUND (OF INSTRUMENT OR VOICE),19,Noun,verb,SN000050,2879,1,
*ar,stem (of a tree or plant); tree,TREE,15,Noun,noun,SN000051,906,1,
aragadi,saw,SAW,19,Noun,noun,SN000054,1948,1,
aremun,to be big (of a tree or house),BIG,11,Intransitive verb,adjective,SN000057,1202,1,
arep,"pond; enclosed bay; sometimes used to refer to Arepner, the bay in Mas",POND,15,Noun,noun,SN000058,2035,1,
ariemun,Friday,FRIDAY,19,Noun,noun,SN000061,1692,1,
arun,stem,PLANT STEM,19,Noun,noun,SN000062,2628,1,
arwa,spirit,SPIRIT,19,Noun,noun,SN000063,53,1,
*as,edge,EDGE,19,Noun,noun,SN000064,863,1,
asun,edge,EDGE,19,Noun,noun,SN000069,863,1,
atau,or,OR,19,Conjunction,other,SN000071,1014,1,
ator,to arrange,ARRANGE,20,Verb,verb,SN000072,1568,1,
au,infant,BABY,19,Noun,noun,SN000073,1289,1,
ba,but,BUY,19,Conjunction,verb,SN000074,1869,1,
bal,dog,DOG,19,Noun,noun,SN000079,2009,1,
balaok,to show,SHOW,20,Verb,verb,SN000082,1039,1,
baluku,freshwater eel,FRESHWATER EEL,19,Noun,noun,SN000086,1013,1,
banku,bench,BENCH,19,Noun,noun,SN000087,2584,1,
bara,to descend; to move down,GO DOWN (DESCEND),16,Verb,verb,SN000088,2014,1,
barahala,to be lazy,LAZY,11,Verb,adjective,SN000089,1564,1,
barang,turmeric,TURMERIC,19,Noun,noun,SN000092,2842,1,
baranggap,to be yellow,YELLOW,11,Intransitive verb,adjective,SN000093,1424,1,
baru,then; so; only then; new,NEW,15,Conjunction,adjective,SN000095,1231,1,
bataku,brick,BRICK,19,Noun,noun,SN000096,1006,1,
bawang iriskapten,garlic,GARLIC,19,Noun,noun,SN000097,2368,1,
bayam,spinach,SPINACH,19,Noun,noun,SN000099,975,1,
bebak,duck,DUCK,19,Noun,noun,SN000101,1360,1,
bekiem,shoulder,SHOULDER,19,Noun,noun,SN000102,1482,1,
bekiemkang,shoulderblade,SHOULDERBLADE,19,Noun,noun,SN000103,172,1,
belajar,to learn; to study,LEARN,16,Verb,verb,SN000105,504,1,
belbel,(of a tip) to be sharp,SHARP,11,Intransitive verb,adjective,SN000106,1396,1,
belek,can (food container),BE ABLE,11,Noun,verb,SN000107,972,1,
belen,tongue,TONGUE,19,Noun,noun,SN000108,1205,1,
bes,to be good,GOOD,19,Intransitive verb,adjective,SN000109,1035,1,
bir,beer,BEER,19,Noun,noun,SN000117,1639,1,
bisa,can; to be possible,BE ABLE,15,Verb,verb,SN000119,972,1,
bo,to go,GO,20,Verb,verb,SN000121,695,1,
bo,until,UNTIL,19,Verb,other,SN000122,2753,1,
boda,to be stupid,STUPID,11,Intransitive verb,adjective,SN000123,1518,1,
bol,mouth; rim,MOUTH,15,Noun,noun,SN000124,674,1,
bola,ball,BALL,19,Noun,noun,SN000125,1845,1,
bolkoyal,to eat,EAT,20,Verb,verb,SN000126,1336,1,
bolkul,lip,LIP,19,Noun,noun,SN000127,478,1,
bolon,a little,A LITTLE,19,Quantifier,other,SN000129,2924,1,
bon,to bring,BRING,20,Verb,verb,SN000130,692,1,
=bon,[comitative case marker]; with; and,AND,15,Grammatical marker,other,SN000131,1577,1,
bonaras,to be angry (with child),BE ANGRY,12,Verb,verb,SN000132,2223,1,
bonasau,"to do a (repetitive, difficult, annoying) task; to try",TRY,16,Verb,verb,SN000133,1812,1,
bor,to drill,BORE,20,Verb,verb,SN000135,1501,1,
bor,drill,DRILL,19,Noun,noun,SN000136,3423,1,
borma,to open (of one's limbs),OPEN,12,Transitive verb,verb,SN000138,1156,1,
bot,journey,JOURNEY,19,Noun,verb,SN000140,2393,1,
botal,bottle,BOTTLE,19,Noun,noun,SN000141,1321,1,
boukbouk,to bark,BARKING,20,Verb,verb,SN000143,1206,1,
bubir,porridge,CONGEE,19,Noun,noun,SN000144,2049,1,
buk,book,BOOK,19,Noun,noun,SN000146,963,1,
bunga,flower,FLOWER,19,Noun,noun,SN000148,239,1,
buokbuok,to chew betel,CHEW BETEL,20,Verb,verb,SN000155,3161,1,
bustang,nose,NOSE,19,Noun,noun,SN000162,1221,1,
bustang posun,nostril,NOSTRIL,19,Noun,noun,SN000163,1178,1,
but,stairs,STAIRS,19,Noun,noun,SN000164,34,1,
-ca,[second person possessive]; your,YOUR (SINGULAR),15,Grammatical marker,other,SN000165,732,1,
-cam,man,MAN,19,Grammatical marker,noun,SN000169,1554,1,
campur,to mix,MIX,20,Verb,verb,SN000170,2017,1,
canam,man; male,MAN,15,Noun,noun,SN000171,1554,1,
cangkir,cup,CUP,19,Noun,noun,SN000172,476,1,
cat,to paint,PAINTING,20,Verb,verb,SN000173,2001,1,
caun,small,SMALL,19,Noun,adjective,SN000174,1246,1,
-ce,[second person plural possessive]; your,YOUR (SINGULAR),15,Grammatical marker,other,SN000175,732,1,
cek,to check,CHECK,20,Verb,verb,SN000176,1975,1,
cerita,to tell; to tell a story,TELL,16,Verb,verb,SN000178,1711,1,
cerita,story,STORY,19,Noun,noun,SN000179,2060,1,
cicaun,to be small,SMALL,19,Intransitive verb,adjective,SN000180,1246,1,
